time,pend.x
0,0
0.1,0.062413811
0.2,0.12233938
0.3,0.177387665
0.4,0.225364063
0.5,0.264355906
0.6,0.292808715
0.7,0.309588163
0.8,0.314025309
0.9,0.305943256
1,0.285664212
1.1,0.253996636
1.2,0.212203017
1.3,0.161949532
1.4,0.105239631
1.5,0.044334158
1.6,-0.018338778
1.7,-0.080280605
1.8,-0.139021897
1.9,-0.192220826
2,-0.237756516
2.1,-0.273813604
2.2,-0.298954608
2.3,-0.312177236
2.4,-0.312954342
2.5,-0.301254946
2.6,-0.277545466
2.7,-0.242771124
2.8,-0.198318263
2.9,-0.145959079
3,-0.087780968
3.1,-0.026103306
3.2,0.036615013
3.3,0.097873606
3.4,0.155230287
3.5,0.206398427
3.6,0.249338113
3.7,0.282337475
3.8,0.304080933
3.9,0.313701644
4,0.31081606
4.1,0.295539221
4.2,0.268480165
4.3,0.230717653
4.4,0.183757156
4.5,0.129470841
4.6,0.070022932
4.7,0.007783429
4.8,-0.054766374
4.9,-0.115132814
5,-0.170909273
5.1,-0.219872118
5.2,-0.260069355
5.3,-0.289898449
5.4,-0.308170205
5.5,-0.314156189
5.6,-0.307617756
5.7,-0.288815574
5.8,-0.258499227
5.9,-0.217877331
6,-0.168569354
6.1,-0.112541048
6.2,-0.052026086
6.3,0.010562992
6.4,0.072730957
6.5,0.131999368
6.6,0.18600538
6.7,0.232595946
6.8,0.269913645
6.9,0.296470738
7,0.311208479
7.1,0.31353932
7.2,0.303370338
7.3,0.281106937
7.4,0.24763669
7.5,0.20429395
7.6,0.152806655
7.7,0.09522744
7.8,0.033851808
7.9,-0.028873389
8,-0.090447494
8.1,-0.148415744
8.2,-0.200467127
8.3,-0.244526517
8.4,-0.278837407
8.5,-0.30203193
8.6,-0.313185392
8.7,-0.311853142
8.8,-0.29808829
8.9,-0.2724396
9,-0.235929602
9.1,-0.190013835
9.2,-0.136522817
9.3,-0.077589064
9.4,-0.015562081
9.5,0.047085314
9.6,0.107855566
9.7,0.164325957
9.8,0.21424519
9.9,0.255623144
10,0.286810209
